Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_list_price,Item_sale_price,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,average_product_rating,total_number_reviews,Scaled_Reviews,Comments,Item_Outlet_Sales,,,,New Metrics Track
NCJ30,5.82,Low Fat,0.080968973,Household,171.379,171.379,OUT018,2009,Medium,Tier 3,Supermarket Type2,,,0,,2037.348,,,,
FDB09,16.25,Low Fat,0.057485328,Fruits and Vegetables,126.2046,126.2046,OUT049,1999,Medium,Tier 1,Supermarket Type1,,,0,,1867.569,,,,
FDA09,13.35,Regular,0.149669322,Snack Foods,180.266,180.266,OUT045,2002,,Tier 2,Supermarket Type1,4.4 out of 5,7,700,,898.83,,,,
FDL24,,Regular,0.024776026,Baking Goods,172.3422,172.3422,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,7759.899,,,,
FDP03,5.15,Regular,0.061165512,Meat,125.6388,125.6388,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,2848.2924,,,,
FDR58,,Low Fat,0.041718456,Snack Foods,94.5462,94.5462,OUT027,1985,Medium,Tier 3,Supermarket Type3,5 out of 5,,0,,2868.9322,,,,
FDO13,7.865,Low Fat,0.06100886,Breakfast,166.0526,166.0526,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,3617.9572,,,,
DRD49,9.895,Low Fat,0.167799329,Soft Drinks,239.4564,239.4564,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,5243.8408,,,,
NCF42,17.35,Low Fat,0.167351411,Household,176.0712,176.0712,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,2109.2544,,,,
DRK35,8.365,Low Fat,0.071832909,Hard Drinks,36.1506,36.1506,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,721.0614,,,,
FDR58,6.675,Low Fat,0.041886576,Snack Foods,92.1462,92.1462,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,1203.1006,,,,
FDQ15,,Regular,0.150341867,Meat,83.1276,83.1276,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,1868.2348,,,,
NCP50,17.35,Low Fat,0.020542737,Others,80.5618,80.5618,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,322.2472,,,,
FDV45,16.75,Low Fat,0.045047439,Snack Foods,186.4556,186.4556,OUT046,1997,Small,Tier 1,Supermarket Type1,5 out of 5,,0,,3942.8676,,,,
DRP35,18.85,Low Fat,0.091008572,Hard Drinks,129.6336,129.6336,OUT049,1999,Medium,Tier 1,Supermarket Type1,,,0,,3195.84,,,,
FDN23,6.575,Regular,0.07549348,Breads,143.5444,143.5444,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,3338.3212,,,,
FDS44,12.65,Regular,0.156286566,Fruits and Vegetables,238.9538,238.9538,OUT049,1999,Medium,Tier 1,Supermarket Type1,,,0,,4086.0146,,,,
NCI54,15.2,Low Fat,0.033735909,Household,110.9912,110.9912,OUT018,2009,Medium,Tier 3,Supermarket Type2,,,0,,1856.2504,,,,
FDH40,,Regular,0.078547351,Frozen Foods,79.3276,79.3276,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,1380.8692,,,,
FDF46,7.07,Low Fat,0.093653464,Snack Foods,113.3834,113.3834,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,1267.0174,,,,
FDA21,13.65,Low Fat,0.036107198,Snack Foods,184.4924,184.4924,OUT018,2009,Medium,Tier 3,Supermarket Type2,1 out of 5,1,100,,5182.5872,,,,
FDI41,,Regular,0.109003832,Frozen Foods,145.2418,145.2418,OUT019,1985,Small,Tier 1,Grocery Store,5 out of 5,3,300,,147.1418,,,,
FDE35,7.06,Regular,0.073480266,Starchy Foods,58.8904,58.8904,OUT010,1998,,Tier 3,Grocery Store,4.7 out of 5,"1,171",117100,,58.5904,,,,
DRJ24,11.8,Low Fat,0.113234914,Soft Drinks,186.3924,186.3924,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,5367.6796,,,,
NCK17,,Low Fat,0.037711338,Health and Hygiene,41.548,41.548,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,1358.232,,,,
FDA15,9.3,Low Fat,0.016054884,Dairy,250.2092,250.2092,OUT045,2002,,Tier 2,Supermarket Type1,3 out of 5,1,100,,5976.2208,,,,
FDD36,,Low Fat,0.021170542,Baking Goods,117.6124,117.6124,OUT027,1985,Medium,Tier 3,Supermarket Type3,4.6 out of 5,19,1900,,2251.7356,,,,
DRD60,,Low Fat,0.065188619,Soft Drinks,181.1634,181.1634,OUT019,1985,Small,Tier 1,Grocery Store,,,0,,181.7634,,,,
FDA46,13.6,Low Fat,0.117537563,Snack Foods,195.4136,195.4136,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,5443.5808,,,,
NCO54,19.5,Low Fat,0.01430324,Household,57.2614,57.2614,OUT045,2002,,Tier 2,Supermarket Type1,,,0,,1547.3192,,,,
FDL48,19.35,Regular,0.137697119,Baking Goods,47.1034,47.1034,OUT010,1998,,Tier 3,Grocery Store,5 out of 5,6,600,,145.8102,,,,
NCM19,,Low Fat,0.047008497,Others,112.0202,112.0202,OUT027,1985,Medium,Tier 3,Supermarket Type3,5 out of 5,4,400,,5063.409,,,,
FDS31,13.1,reg,0,Fruits and Vegetables,178.9318,178.9318,OUT049,1999,Medium,Tier 1,Supermarket Type1,,,0,,3067.3406,,,,
FDV12,16.7,Regular,0.060863167,Baking Goods,97.6384,97.6384,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,2857.6136,,,,
FDQ31,5.785,Regular,0,Fruits and Vegetables,87.1856,87.1856,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,1406.1696,,,,
FDK55,,Low Fat,0.045105407,Meat,89.4172,89.4172,OUT019,1985,Small,Tier 1,Grocery Store,,,0,,178.4344,,,,
DRG15,6.13,Low Fat,0.076855207,Dairy,59.3536,59.3536,OUT049,1999,Medium,Tier 1,Supermarket Type1,,,0,,1470.0864,,,,
NCR17,9.8,Low Fat,0.024482644,Health and Hygiene,116.2492,116.2492,OUT018,2009,Medium,Tier 3,Supermarket Type2,,,0,,2896.23,,,,
FDV01,,Regular,0,Canned,154.6314,154.6314,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,6515.5188,,,,
FDT21,7.42,Low Fat,0.020474913,Snack Foods,248.4092,248.4092,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.2 out of 5,"1,023",102300,,996.0368,,,,
FDT10,16.7,Regular,0.062044506,Snack Foods,57.4562,57.4562,OUT046,1997,Small,Tier 1,Supermarket Type1,5 out of 5,1,100,,948.0992,,,,
FDL56,,Low Fat,0.220225608,Fruits and Vegetables,85.6198,85.6198,OUT019,1985,Small,Tier 1,Grocery Store,4.8 out of 5,9,900,,87.2198,,,,
FDS49,9,Low Fat,0.079794329,Canned,80.1644,80.1644,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,1178.466,,,,
FDT32,,Regular,0.114916546,Fruits and Vegetables,188.4214,188.4214,OUT019,1985,Small,Tier 1,Grocery Store,,,0,,565.2642,,,,
NCX42,6.36,Low Fat,0.00597362,Household,164.5526,164.5526,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,2137.8838,,,,
FDX26,17.7,LF,0.146973462,Dairy,184.1292,184.1292,OUT010,1998,,Tier 3,Grocery Store,4.4 out of 5,5,500,,547.2876,,,,
FDN02,16.5,Low Fat,0.07376631,Canned,208.5638,208.5638,OUT013,1987,High,Tier 3,Supermarket Type1,4.5 out of 5,22,2200,,2691.8294,,,,
FDJ40,,Regular,0.049349121,Frozen Foods,108.6912,108.6912,OUT027,1985,Medium,Tier 3,Supermarket Type3,3.7 out of 5,3,300,,3057.3536,,,,
FDU13,,low fat,0.328390948,Canned,146.0418,146.0418,OUT019,1985,Small,Tier 1,Grocery Store,5 out of 5,1,100,,588.5672,,,,
DRE27,11.85,Low Fat,0.13267058,Dairy,96.4726,96.4726,OUT046,1997,Small,Tier 1,Supermarket Type1,4.6 out of 5,228,22800,,978.726,,,,
FDS27,10.195,Regular,0.012455787,Meat,197.511,197.511,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,2356.932,,,,
FDU44,,Regular,0.058142797,Fruits and Vegetables,162.1552,162.1552,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,3086.6488,,,,
DRM59,,Low Fat,0.006289291,Hard Drinks,153.2998,153.2998,OUT019,1985,Small,Tier 1,Grocery Store,,,0,,461.3994,,,,
FDT08,13.65,Low Fat,0.04929502,Fruits and Vegetables,150.505,150.505,OUT049,1999,Medium,Tier 1,Supermarket Type1,,,0,,2696.49,,,,
FDL46,20.35,low fat,0.054362695,Snack Foods,117.9466,117.9466,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,1649.8524,,,,
NCV30,20.2,Low Fat,0.110356797,Household,62.051,62.051,OUT010,1998,,Tier 3,Grocery Store,5 out of 5,4,400,,126.502,,,,
FDP51,13.85,Regular,0.085274988,Meat,119.6124,119.6124,OUT046,1997,Small,Tier 1,Supermarket Type1,,,0,,2014.7108,,,,
FDA51,8.05,Regular,0.164542555,Dairy,112.2518,112.2518,OUT013,1987,High,Tier 3,Supermarket Type1,5 out of 5,4,400,,1707.777,,,,
FDM46,7.365,Low Fat,0.160292264,Snack Foods,94.712,94.712,OUT045,2002,,Tier 2,Supermarket Type1,4.2 out of 5,5,500,,932.12,,,,
FDK02,12.5,Low Fat,0.112859454,Canned,118.344,118.344,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,2157.192,,,,
FDJ57,7.42,Regular,0.021569566,Seafood,184.8582,184.8582,OUT035,2004,Small,Tier 2,Supermarket Type1,4.5 out of 5,186,18600,,4643.955,,,,
FDJ45,,Low Fat,0.073055148,Seafood,33.7216,33.7216,OUT027,1985,Medium,Tier 3,Supermarket Type3,4.4 out of 5,656,65600,,1280.9992,,,,
NCB31,6.235,Low Fat,0.119345629,Household,261.991,261.991,OUT017,2007,,Tier 2,Supermarket Type1,4.7 out of 5,25,2500,,2366.919,,,,
FDJ03,12.35,Regular,0.072334667,Dairy,49.1692,49.1692,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,886.8456,,,,
FDT50,6.75,Regular,0.108148913,Dairy,95.6752,95.6752,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,958.752,,,,
NCY41,16.75,Low Fat,0.07585337,Health and Hygiene,36.8532,36.8532,OUT049,1999,Medium,Tier 1,Supermarket Type1,4.6 out of 5,39,3900,,1150.5024,,,,
FDJ60,19.35,Regular,0.062655235,Baking Goods,163.3184,163.3184,OUT045,2002,,Tier 2,Supermarket Type1,4 out of 5,1,100,,2641.8944,,,,
FDZ35,9.6,Regular,0.022278477,Breads,102.499,102.499,OUT046,1997,Small,Tier 1,Supermarket Type1,4.7 out of 5,3,300,,1547.985,,,,
FDS21,19.85,Regular,0.020961192,Snack Foods,62.0194,62.0194,OUT018,2009,Medium,Tier 3,Supermarket Type2,,,0,,619.194,,,,
FDM52,15.1,Low Fat,0.025993423,Frozen Foods,147.4076,147.4076,OUT046,1997,Small,Tier 1,Supermarket Type1,4.4 out of 5,63,6300,,2808.3444,,,,
FDQ08,,Regular,0.018838681,Fruits and Vegetables,62.9536,62.9536,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,2266.3832,,,,
FDQ56,6.59,Low Fat,0.105577348,Fruits and Vegetables,85.6908,85.6908,OUT035,2004,Small,Tier 2,Supermarket Type1,5 out of 5,12,1200,,1929.4884,,,,
FDS47,16.75,Low Fat,0.129086113,Breads,89.4856,89.4856,OUT049,1999,Medium,Tier 1,Supermarket Type1,1 out of 5,1,100,,1054.6272,,,,
DRM48,15.2,Low Fat,0.113125627,Soft Drinks,38.6848,38.6848,OUT045,2002,,Tier 2,Supermarket Type1,4.4 out of 5,37,3700,,1155.8288,,,,
FDW46,13,Regular,0.070699313,Snack Foods,65.7484,65.7484,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,1174.4712,,,,
FDW27,5.86,Regular,0.151467821,Meat,154.1314,154.1314,OUT018,2009,Medium,Tier 3,Supermarket Type2,5 out of 5,2,200,,3412.8908,,,,
NCQ05,11.395,Low Fat,0.03616416,Health and Hygiene,150.1708,150.1708,OUT010,1998,,Tier 3,Grocery Store,,,0,,300.9416,,,,
FDU40,20.85,Low Fat,0.062606583,Frozen Foods,192.2478,192.2478,OUT010,1998,,Tier 3,Grocery Store,,,0,,387.4956,,,,
DRE12,,Low Fat,0.0704378,Soft Drinks,112.886,112.886,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,2942.836,,,,
FDX35,5.035,Regular,0.079844043,Breads,226.3036,226.3036,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,4098.6648,,,,
FDD51,11.15,Low Fat,0.120139206,Dairy,45.0744,45.0744,OUT049,1999,Medium,Tier 1,Supermarket Type1,5 out of 5,1,100,,452.744,,,,
FDY27,6.38,Low Fat,0.032028115,Dairy,178.3344,178.3344,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.5 out of 5,2,200,,3211.8192,,,,
NCN06,8.39,Low Fat,0.120497266,Household,162.2868,162.2868,OUT046,1997,Small,Tier 1,Supermarket Type1,4.4 out of 5,787,78700,,2620.5888,,,,
FDR57,5.675,Regular,0.023492524,Snack Foods,155.5288,155.5288,OUT035,2004,Small,Tier 2,Supermarket Type1,3.9 out of 5,9,900,,1414.1592,,,,
FDL32,15.7,Regular,0.122657336,Fruits and Vegetables,110.1544,110.1544,OUT049,1999,Medium,Tier 1,Supermarket Type1,5 out of 5,1,100,,1565.9616,,,,
FDW46,13,reg,0.070588037,Snack Foods,65.9484,65.9484,OUT018,2009,Medium,Tier 3,Supermarket Type2,,,0,,1043.9744,,,,
NCO17,,Low Fat,0.073024401,Health and Hygiene,121.844,121.844,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,3115.944,,,,
FDR19,13.5,Regular,0.159587755,Fruits and Vegetables,145.3102,145.3102,OUT013,1987,High,Tier 3,Supermarket Type1,4.7 out of 5,229,22900,,729.051,,,,
FDJ33,8.895,Regular,0.088821765,Snack Foods,125.173,125.173,OUT017,2007,,Tier 2,Supermarket Type1,5 out of 5,1,100,,2956.152,,,,
FDB15,10.895,Low Fat,0.136810742,Dairy,263.0568,263.0568,OUT046,1997,Small,Tier 1,Supermarket Type1,,,0,,527.3136,,,,
FDA52,16.2,Regular,0.128682722,Frozen Foods,178.437,178.437,OUT045,2002,,Tier 2,Supermarket Type1,,,0,,1058.622,,,,
FDZ08,,Regular,0.109459733,Fruits and Vegetables,84.1592,84.1592,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,1320.9472,,,,
FDR27,15.1,Regular,0.096644015,Meat,131.9942,131.9942,OUT017,2007,,Tier 2,Supermarket Type1,5 out of 5,1,100,,3047.3666,,,,
NCK42,7.475,Low Fat,0.013120028,Household,217.6192,217.6192,OUT046,1997,Small,Tier 1,Supermarket Type1,5 out of 5,3,300,,1725.7536,,,,
FDZ12,,Low Fat,0,Baking Goods,144.847,144.847,OUT019,1985,Small,Tier 1,Grocery Store,,,0,,143.147,,,,
FDM60,10.8,Regular,0.048339408,Baking Goods,41.5138,41.5138,OUT018,2009,Medium,Tier 3,Supermarket Type2,,,0,,446.7518,,,,
NCI31,20,Low Fat,0.08165845,Others,35.019,35.019,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.5 out of 5,4,400,,585.904,,,,
FDX39,14.3,Regular,0.04975339,Meat,210.3586,210.3586,OUT049,1999,Medium,Tier 1,Supermarket Type1,4.2 out of 5,6,600,,6331.758,,,,
NCV05,10.1,Low Fat,0.030379382,Health and Hygiene,153.4656,153.4656,OUT017,2007,,Tier 2,Supermarket Type1,4.5 out of 5,2,200,,1853.5872,,,,
FDX16,17.85,LF,0.065810045,Frozen Foods,149.105,149.105,OUT046,1997,Small,Tier 1,Supermarket Type1,,,0,,2247.075,,,,
DRK12,9.5,Low Fat,0,Soft Drinks,32.89,32.89,OUT010,1998,,Tier 3,Grocery Store,4.7 out of 5,3,300,,33.29,,,,
NCA05,20.75,Low Fat,0.025272781,Health and Hygiene,146.6734,146.6734,OUT017,2007,,Tier 2,Supermarket Type1,4.8 out of 5,5,500,,445.4202,,,,
DRG51,12.1,Low Fat,0.019314961,Dairy,164.6526,164.6526,OUT010,1998,,Tier 3,Grocery Store,4 out of 5,1,100,,657.8104,,,,
NCR30,20.6,Low Fat,0.071282168,Household,74.4696,74.4696,OUT018,2009,Medium,Tier 3,Supermarket Type2,4 out of 5,2,200,,223.7088,,,,
NCE31,7.67,Low Fat,0.184843579,Household,33.1216,33.1216,OUT046,1997,Small,Tier 1,Supermarket Type1,5 out of 5,4,400,,727.0536,,,,
FDM56,,Low Fat,0.122896411,Fruits and Vegetables,111.1912,111.1912,OUT019,1985,Small,Tier 1,Grocery Store,4.3 out of 5,393,39300,,218.3824,,,,
FDP24,20.6,Low Fat,0.082935004,Baking Goods,119.5756,119.5756,OUT013,1987,High,Tier 3,Supermarket Type1,4.3 out of 5,44,4400,,2665.8632,,,,
DRM37,15.35,Low Fat,0.161350176,Soft Drinks,196.6768,196.6768,OUT010,1998,,Tier 3,Grocery Store,,,0,,591.2304,,,,
FDN56,5.46,Regular,0.106968096,Fruits and Vegetables,142.6786,142.6786,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,2311.6576,,,,
DRE60,9.395,Low Fat,0.159582185,Soft Drinks,224.772,224.772,OUT049,1999,Medium,Tier 1,Supermarket Type1,5 out of 5,3,300,,7017.532,,,,
FDW49,,Low Fat,0.14453827,Canned,180.6002,180.6002,OUT019,1985,Small,Tier 1,Grocery Store,,,0,,895.501,,,,
FDM20,10,Low Fat,0.038685802,Fruits and Vegetables,243.8144,243.8144,OUT046,1997,Small,Tier 1,Supermarket Type1,4.5 out of 5,2,200,,4655.2736,,,,
FDK15,,Low Fat,0.172309903,Meat,98.2042,98.2042,OUT019,1985,Small,Tier 1,Grocery Store,4.8 out of 5,5,500,,198.4084,,,,
FDK48,7.445,Low Fat,0.037690731,Baking Goods,73.3354,73.3354,OUT049,1999,Medium,Tier 1,Supermarket Type1,,,0,,451.4124,,,,
FDO49,,Regular,0.05787008,Breakfast,49.7008,49.7008,OUT019,1985,Small,Tier 1,Grocery Store,4.7 out of 5,143,14300,,50.6008,,,,
FDC09,15.5,Regular,0.026409147,Fruits and Vegetables,102.1332,102.1332,OUT018,2009,Medium,Tier 3,Supermarket Type2,,,0,,615.1992,,,,
NCZ41,19.85,Low Fat,0.064367627,Health and Hygiene,126.1704,126.1704,OUT013,1987,High,Tier 3,Supermarket Type1,5 out of 5,3,300,,876.1928,,,,
FDP19,11.5,Low Fat,0.173516063,Fruits and Vegetables,128.1652,128.1652,OUT046,1997,Small,Tier 1,Supermarket Type1,,,0,,2454.1388,,,,
FDQ24,,Low Fat,0.12898088,Baking Goods,250.4724,250.4724,OUT019,1985,Small,Tier 1,Grocery Store,4.1 out of 5,"1,856",185600,,251.6724,,,,
DRL11,10.5,Low Fat,0.048115543,Hard Drinks,159.0946,159.0946,OUT045,2002,,Tier 2,Supermarket Type1,,,0,,4102.6596,,,,
FDO36,19.7,Low Fat,0.077899109,Baking Goods,177.766,177.766,OUT035,2004,Small,Tier 2,Supermarket Type1,5 out of 5,13,1300,,2696.49,,,,
FDN52,,Regular,0.13093275,Frozen Foods,86.9198,86.9198,OUT027,1985,Medium,Tier 3,Supermarket Type3,4.8 out of 5,39,3900,,1569.9564,,,,
FDF21,10.3,Regular,0.098464979,Fruits and Vegetables,188.653,188.653,OUT010,1998,,Tier 3,Grocery Store,4 out of 5,1,100,,189.753,,,,
FDU40,20.85,Low Fat,0.037372847,Frozen Foods,192.7478,192.7478,OUT013,1987,High,Tier 3,Supermarket Type1,4 out of 5,3,300,,3099.9648,,,,
FDS51,13.35,Low Fat,0.032230526,Meat,61.4194,61.4194,OUT049,1999,Medium,Tier 1,Supermarket Type1,,,0,,743.0328,,,,
FDE45,12.1,Low Fat,0.040357315,Fruits and Vegetables,177.8002,177.8002,OUT046,1997,Small,Tier 1,Supermarket Type1,,,0,,1611.9018,,,,
FDX50,20.1,Low Fat,0.07461309,Dairy,108.7228,108.7228,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,1215.7508,,,,
NCN14,,Low Fat,0.160936178,Others,184.2608,184.2608,OUT019,1985,Small,Tier 1,Grocery Store,5 out of 5,1,100,,367.5216,,,,
FDQ21,21.25,Low Fat,0.019502354,Snack Foods,120.8756,120.8756,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.8 out of 5,14,1400,,3150.5656,,,,
FDV57,,Regular,0.065577449,Snack Foods,181.766,181.766,OUT027,1985,Medium,Tier 3,Supermarket Type3,4.5 out of 5,2,200,,7370.406,,,,
FDB44,6.655,Low Fat,0.016944719,Fruits and Vegetables,209.2586,209.2586,OUT013,1987,High,Tier 3,Supermarket Type1,3.9 out of 5,14,1400,,2954.8204,,,,
FDG52,13.65,Low Fat,0.065576228,Frozen Foods,47.7402,47.7402,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,643.1628,,,,
FDL38,,Regular,0.02579577,Canned,88.4172,88.4172,OUT019,1985,Small,Tier 1,Grocery Store,,,0,,89.2172,,,,
NCS54,13.6,Low Fat,0.010008699,Household,176.737,176.737,OUT049,1999,Medium,Tier 1,Supermarket Type1,5 out of 5,1,100,,4940.236,,,,
DRL37,15.5,Low Fat,0.053362086,Soft Drinks,41.577,41.577,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,735.709,,,,
FDA43,10.895,Low Fat,0.064621927,Fruits and Vegetables,196.6794,196.6794,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,1170.4764,,,,
FDZ39,19.7,Regular,0.018126724,Meat,101.799,101.799,OUT017,2007,,Tier 2,Supermarket Type1,4.3 out of 5,11,1100,,1135.189,,,,
FDG45,8.1,Low Fat,0,Fruits and Vegetables,211.8902,211.8902,OUT018,2009,Medium,Tier 3,Supermarket Type2,5 out of 5,2,200,,3823.0236,,,,
FDH10,21,Low Fat,0.049263979,Snack Foods,195.0478,195.0478,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,1549.9824,,,,
FDO10,13.65,Regular,0.021343732,Snack Foods,58.3588,58.3588,OUT010,1998,,Tier 3,Grocery Store,,,0,,114.5176,,,,
FDS35,,LF,0.110681931,Breads,63.2826,63.2826,OUT027,1985,Medium,Tier 3,Supermarket Type3,5 out of 5,1,100,,1033.3216,,,,
FDI41,,Regular,0.061955439,Frozen Foods,145.1418,145.1418,OUT027,1985,Medium,Tier 3,Supermarket Type3,4.8 out of 5,111,11100,,4561.3958,,,,
FDN21,,LF,0.076483451,Snack Foods,163.1236,163.1236,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,2416.854,,,,
NCO18,13.15,Low Fat,0.024701262,Household,176.8686,176.8686,OUT045,2002,,Tier 2,Supermarket Type1,2 out of 5,1,100,,2133.2232,,,,
FDB34,15.25,Low Fat,0.02671821,Snack Foods,85.2198,85.2198,OUT018,2009,Medium,Tier 3,Supermarket Type2,,,0,,1482.7366,,,,
FDD05,19.35,Low Fat,0.016597651,Frozen Foods,121.5098,121.5098,OUT013,1987,High,Tier 3,Supermarket Type1,4.5 out of 5,4,400,,2892.2352,,,,
FDX59,,Low Fat,0.0514111,Breads,33.0558,33.0558,OUT027,1985,Medium,Tier 3,Supermarket Type3,4.4 out of 5,11,1100,,984.7182,,,,
FDZ23,17.75,Regular,0.112985849,Baking Goods,185.424,185.424,OUT010,1998,,Tier 3,Grocery Store,4.4 out of 5,143,14300,,745.696,,,,
FDX27,20.7,Regular,0.11411709,Dairy,92.7436,92.7436,OUT046,1997,Small,Tier 1,Supermarket Type1,3 out of 5,2,200,,1323.6104,,,,
FDV07,9.5,Low Fat,0,Fruits and Vegetables,110.4228,110.4228,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,1547.3192,,,,
FDR14,11.65,Low Fat,0.175033524,Dairy,55.5298,55.5298,OUT017,2007,,Tier 2,Supermarket Type1,5 out of 5,1,100,,647.1576,,,,
FDO01,21.1,Regular,0.020760673,Breakfast,128.7994,128.7994,OUT045,2002,,Tier 2,Supermarket Type1,,,0,,1798.9916,,,,
FDO13,7.865,Low Fat,0.061405051,Breakfast,166.3526,166.3526,OUT017,2007,,Tier 2,Supermarket Type1,4.2 out of 5,"1,033",103300,,1973.4312,,,,
FDU25,12.35,Low Fat,0.026676216,Canned,57.0246,57.0246,OUT035,2004,Small,Tier 2,Supermarket Type1,4.7 out of 5,54,5400,,1737.738,,,,
NCK54,,Low Fat,0.029380407,Household,114.715,114.715,OUT027,1985,Medium,Tier 3,Supermarket Type3,4 out of 5,4,400,,1864.24,,,,
FDZ56,16.25,Low Fat,0.025715562,Fruits and Vegetables,168.1474,168.1474,OUT013,1987,High,Tier 3,Supermarket Type1,5 out of 5,3,300,,1516.0266,,,,
NCL55,12.15,Low Fat,0.065026434,Others,253.704,253.704,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,5060.08,,,,
FDD59,10.5,Regular,0.066315023,Starchy Foods,78.296,78.296,OUT045,2002,,Tier 2,Supermarket Type1,4.9 out of 5,15,1500,,2157.192,,,,
FDJ55,12.8,Regular,0.023664054,Meat,226.0404,226.0404,OUT017,2007,,Tier 2,Supermarket Type1,4.8 out of 5,24,2400,,5400.9696,,,,
FDA45,,Low Fat,0.154627247,Snack Foods,177.637,177.637,OUT027,1985,Medium,Tier 3,Supermarket Type3,5 out of 5,1,100,,5469.547,,,,
DRF23,4.61,Low Fat,0.205294827,Hard Drinks,172.8396,172.8396,OUT010,1998,,Tier 3,Grocery Store,,,0,,174.4396,,,,
FDT49,7,Low Fat,0.152261999,Canned,105.728,105.728,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,1278.336,,,,
NCO17,10,Low Fat,0,Health and Hygiene,120.644,120.644,OUT035,2004,Small,Tier 2,Supermarket Type1,4.7 out of 5,15,1500,,1917.504,,,,
FDH22,6.405,Low Fat,0.136275173,Snack Foods,128.1678,128.1678,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,1017.3424,,,,
FDT34,9.3,Low Fat,0.174621343,Snack Foods,104.2964,104.2964,OUT049,1999,Medium,Tier 1,Supermarket Type1,,,0,,1998.7316,,,,
FDB39,11.6,Low Fat,0.038597077,Dairy,57.9272,57.9272,OUT045,2002,,Tier 2,Supermarket Type1,5 out of 5,1,100,,615.1992,,,,
FDQ22,16.75,Low Fat,0.029799965,Snack Foods,39.1822,39.1822,OUT045,2002,,Tier 2,Supermarket Type1,5 out of 5,1,100,,314.2576,,,,
NCN43,12.15,Low Fat,0.011314423,Others,122.973,122.973,OUT010,1998,,Tier 3,Grocery Store,5 out of 5,1,100,,123.173,,,,
FDG57,14.7,Low Fat,0.072410764,Fruits and Vegetables,48.2034,48.2034,OUT049,1999,Medium,Tier 1,Supermarket Type1,,,0,,1020.6714,,,,
FDR20,20,Regular,0.028118435,Fruits and Vegetables,46.7744,46.7744,OUT035,2004,Small,Tier 2,Supermarket Type1,3 out of 5,3,300,,1222.4088,,,,
FDU22,,Low Fat,0.163350221,Snack Foods,120.2124,120.2124,OUT019,1985,Small,Tier 1,Grocery Store,4.5 out of 5,62,6200,,474.0496,,,,
NCC43,7.39,Low Fat,0.093307713,Household,250.9066,250.9066,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,1506.0396,,,,
FDP01,20.75,Regular,0.105994654,Breakfast,150.5682,150.5682,OUT010,1998,,Tier 3,Grocery Store,4.4 out of 5,16,1600,,762.341,,,,
